filename,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
ordinary,2109.001886933737,797.754384462742,3023.4375,0.21044921875,0.0004050843,-554.9346,-25.32989,-4.5030994,26.452597,-22.693836,9.513424,17.11396,-15.078086,-1.5292202,4.9546623,-21.553467,17.845093,-13.030479,-5.4914727,3.8070374,-6.658119,6.1075816,-12.058483,4.4898424,-3.069238
ordinary,2006.4493034826755,896.6869363171068,3042.96875,0.30908203125,0.00040159372,-554.3667,-16.579292,-7.519554,18.449736,-18.793066,4.218914,16.493776,-7.1762595,-2.1830351,2.844748,-16.901321,12.992376,-15.87653,-2.402271,6.995145,-5.3706183,2.1048658,-14.454256,-3.2504382,-3.2803555
ordinary,1767.0682048123895,1067.8886132551322,3058.59375,0.39306640625,0.00032373486,-575.16003,6.447662,-5.719648,3.4431329,-0.5123191,-4.810311,1.6908988,3.4511113,-7.8785615,-4.736171,-2.575654,-1.9883685,-9.338831,1.404884,4.9868627,-1.547161,4.7427635,-4.783292,-9.969169,-4.63978
ordinary,1741.7828220894692,1099.0989517060184,3148.4375,0.38134765625,0.00022241169,-573.3677,10.150965,-9.38616,-0.9673593,4.530136,-4.091848,-1.8981812,6.162732,-3.1431003,-13.5200615,-10.211715,-2.9921377,-1.23288,2.054712,-4.0657563,-2.1562507,5.513147,0.47025502,-7.3483825,-2.5337832
ordinary,1770.5858991690916,1094.2311610714723,3214.84375,0.353515625,0.00051169895,-565.7201,9.498715,-11.865621,-7.2846103,-3.279597,-5.8235903,4.2703314,10.510843,-3.545434,-14.225725,-8.471727,-2.4628668,-3.7691185,7.878758,-2.4648442,-5.344337,0.52216744,0.7751296,-6.2694635,-3.4874847
ordinary,621.8529534493263,611.1122655788764,695.3125,0.2861328125,0.04578346,-432.60184,124.15195,26.727325,-21.687607,-43.24121,-44.04041,-23.291199,-0.05462949,-2.5244904,-1.400301,1.7428116,-6.712571,-0.42026755,1.5668343,-6.097769,-1.7010269,1.4846379,1.5862095,-18.874851,-14.901553
ordinary,571.4159112775126,534.7314095379812,671.875,0.22998046875,0.09982107,-265.91046,131.34647,23.200375,-16.047676,-45.19996,-39.18775,-28.9662,-0.3423825,-2.904957,-1.0095993,-4.995756,-3.7741513,-0.6778977,-10.885784,6.6260557,-1.3844315,-2.8918931,-13.661554,-13.08216,-7.0973682
ordinary,727.7348325172887,690.955414470318,1171.875,0.16748046875,0.11209587,-134.76817,104.84912,-2.2624426,-7.345543,-25.158855,-21.050701,-19.71952,-0.40990034,-12.276163,4.174186,-6.9399447,-2.6559536,-6.096657,3.1587992,12.511072,-1.8491868,-14.520376,-14.505772,-11.164128,2.956704
ordinary,804.595639471188,737.1212697747543,1402.34375,0.13916015625,0.113484874,-84.500114,96.93485,-13.637289,-8.793525,-13.486919,-8.979174,-19.69125,-8.767366,-15.690945,-1.8756196,-8.219141,-6.4257517,-7.442846,17.233055,14.277327,4.9307284,-15.586351,-20.616058,-14.168902,-1.2710631
ordinary,926.5274954902054,887.785488429266,1667.96875,0.1484375,0.10621543,-108.995056,84.214386,-6.9455204,-11.268749,-0.41445643,-15.63434,-21.128128,-14.238884,-14.268884,-8.122051,-4.7653246,-9.0934515,-13.340479,23.1664,10.399068,7.309351,-16.452316,-21.667303,-15.727222,-4.3129845
ordinary,1192.3419098642362,1116.0879255010445,2656.25,0.1513671875,0.060731534,-152.04286,57.779472,10.9126835,7.3607764,4.7933292,-40.345284,-22.296251,-13.174141,-9.223314,-16.466362,9.020962,-2.1542666,-23.088936,23.628082,-6.714408,0.76049143,-18.095325,-9.371721,-6.827054,-1.7979248
ordinary,1116.4153182703274,1062.5631068325706,2390.625,0.16064453125,0.035842784,-159.88068,61.297012,19.114368,11.859766,-13.02217,-32.674217,-30.030813,-5.675657,-8.118493,-11.875027,10.004752,-11.313624,-28.324766,16.145393,-5.1865587,3.3336382,-13.626789,-2.578005,-0.35903287,-1.0502998
ordinary,1080.6130482079634,917.7298494512394,2242.1875,0.1689453125,0.03345507,-171.27983,62.62233,-7.2742405,24.863277,-27.511179,-29.091211,-30.634884,10.636892,-6.007524,0.74327236,-0.56257105,-13.755302,-24.761618,3.9937387,-6.343996,4.017921,-8.028304,-3.2122006,4.0124416,3.2160916
ordinary,1081.9164887330708,759.8797615107136,1824.21875,0.21728515625,0.02582777,-194.22252,67.58105,-45.853905,38.637283,-30.488047,-42.42897,-31.169106,5.367834,-8.308499,10.946287,-5.6491084,-9.65155,-9.819713,-5.5764465,-3.2963147,1.4730943,-14.1087675,-11.898993,-0.30906284,3.7348845
